bucket,ciencia,deportes,economia,politica,salud,tecnologia
2014-W34,14,0,0,0,0,0
2014-W35,27,0,0,0,0,0
2014-W36,26,0,0,0,0,0
2014-W37,23,0,0,0,0,0
2014-W38,10,0,0,0,0,0
2022-W21,0,13,0,0,0,0
2022-W22,0,52,0,0,0,0
2022-W23,0,2,0,0,0,0
2026-W09,0,0,1,0,0,0
2026-W10,0,0,1,0,0,0
2026-W11,0,0,3,0,0,0
2026-W12,0,0,3,0,0,0
2026-W13,0,0,0,0,1,1
2026-W15,0,0,2,0,0,3
2026-W16,0,0,0,0,0,8
2026-W17,0,0,1,0,0,7
2026-W18,0,2,2,0,0,13
2026-W19,0,5,3,0,0,4
2026-W20,0,7,8,0,1,9
2026-W21,17,69,14,1,1,17
2026-W22,9,100,186,82,25,102
